num;question;a;b;c;d;solution;area_code;area;theme;image;Tags
13;Im Parlament steht der Begriff \x84Opposition\x93 f\xfcr...;die regierenden Parteien.;alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien geh\xf6ren.;die Fraktion mit den meisten Abgeordneten.;alle Parteien, die bei der letzten Wahl die 5%-H\xfcrde erreichen konnten.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
14;Meinungsfreiheit in Deutschland hei\xdft, dass ich ...;Passanten auf der Stra\xdfe beschimpfen darf.;meine Meinung in Leserbriefen \xe4u\xdfern kann.;Nazi-Symbole tragen darf.;meine Meinung sagen darf, solange ich der Regierung nicht widerspreche.;b;politik;Politik in der Demokratie;Grundrechte;-;
15;Was verbietet das deutsche Grundgesetz?;Milit\xe4rdienst;Zwangsarbeit;freie Berufswahl;Arbeit im Ausland;b;politik;Politik in der Demokratie;Grundrechte;-;
16;Wann ist die Meinungsfreiheit in Deutschland eingeschr\xe4nkt?;bei der \xf6ffentlichen Verbreitung falscher Behauptungen \xfcber einzelne Personen;bei Meinungs\xe4u\xdferungen \xfcber die Bundesregierung;bei Diskussionen \xfcber Religionen;bei Kritik am Staat;a;politik;Politik in der Demokratie;Grundrechte;-;
17;Die deutschen Gesetze verbieten ...;Meinungsfreiheit der Einwohner und Einwohnerinnen.;Petitionen der B\xfcrger und B\xfcrgerinnen.;Versammlungsfreiheit der Einwohner und Einwohnerinnen.;Ungleichbehandlung der B\xfcrger und B\xfcrgerinnen durch den Staat.;d;politik;Politik in der Demokratie;Grundrechte;-;difficult
18;Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?;die Unantastbarkeit der Menschenw\xfcrde;das Recht auf Leben;Religionsfreiheit;Meinungsfreiheit;a;politik;Politik in der Demokratie;Grundrechte;-;
19;Was versteht man unter dem Recht der \x84Freiz\xfcgigkeit\x93 in Deutschland?;Man darf sich seinen Wohnort selbst aussuchen.;Man kann seinen Beruf wechseln.;Man darf sich f\xfcr eine andere Religion entscheiden.;Man darf sich in der \xd6ffentlichkeit nur leicht bekleidet bewegen.;a;politik;Politik in der Demokratie;Grundrechte;-;
20;Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann ...;tolerant.;rechtsstaatlich orientiert.;gesetzestreu.;verfassungswidrig.;d;politik;Politik in der Demokratie;Verfassungsorgane;-;
21;Welches ist das Wappen der Bundesrepublik Deutschland?;1;2;3;4;a;politik;Politik in der Demokratie;Staatssymbole;frage_21;image
22;Was f\xfcr eine Staatsform hat Deutschland?;Monarchie;Diktatur;Republik;F\xfcrstentum;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
23;In Deutschland sind die meisten Erwerbst\xe4tigen ...;bei einer Firma oder Beh\xf6rde besch\xe4ftigt.;in kleinen Familienunternehmen besch\xe4ftigt.;ehrenamtlich f\xfcr ein Bundesland t\xe4tig.;selbst\xe4ndig mit einer eigenen Firma t\xe4tig.;a;politik;Politik in der Demokratie;Sozialsystem;-;
24;Wie viele Bundesl\xe4nder hat die Bundesrepublik Deutschland?;14;15;16;17;c;politik;Politik in der Demokratie;Föderalismus;-;
25;Was ist kein Bundesland der Bundesrepublik Deutschland?;Nordrhein-Westfalen;Elsass-Lothringen;Mecklenburg-Vorpommern;Sachsen-Anhalt;b;politik;Politik in der Demokratie;Föderalismus;-;
26;Deutschland ist ...;eine kommunistische Republik.;ein demokratischer und sozialer Bundesstaat.;eine kapitalistische und soziale Monarchie.;ein sozialer und sozialistischer Bundesstaat.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
27;Deutschland ist ...;ein sozialistischer Staat.;ein Bundesstaat.;eine Diktatur.;eine Monarchie.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
28;Wer w\xe4hlt in Deutschland die Abgeordneten zum Bundestag?;das Milit\xe4r;die Wirtschaft;das wahlberechtigte Volk;die Verwaltung;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
29;Welches Tier ist das Wappentier der Bundesrepublik Deutschland?;L\xf6we;Adler;B\xe4r;Pferd;b;politik;Politik in der Demokratie;Staatssymbole;-;
30;Was ist kein Merkmal unserer Demokratie?;regelm\xe4\xdfige Wahlen;Pressezensur;Meinungsfreiheit;verschiedene Parteien;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
31;Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland ...;Einheit.;Koalition.;Ministerium.;Fraktion.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
32;Was ist keine staatliche Gewalt in Deutschland?;Gesetzgebung;Regierung;Presse;Rechtsprechung;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
33;Welche Aussage ist richtig? In Deutschland ...;sind Staat und Religionsgemeinschaften voneinander getrennt.;bilden die Religionsgemeinschaften den Staat.;ist der Staat abh\xe4ngig von den Religionsgemeinschaften.;bilden Staat und Religionsgemeinschaften eine Einheit.;a;gesellschaft;Mensch und Gesellschaft;Religiöse Vielfalt;-;
34;Was ist Deutschland nicht?;eine Demokratie;ein Rechtsstaat;eine Monarchie;ein Sozialstaat;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
35;Womit finanziert der deutsche Staat die Sozialversicherung?;Kirchensteuern;Sozialabgaben;Spendengeldern;Vereinsbeitr\xe4gen;b;politik;Politik in der Demokratie;Sozialsystem;-;
36;Welche Ma\xdfnahme schafft in Deutschland soziale Sicherheit?;die Krankenversicherung;die Autoversicherung;die Geb\xe4udeversicherung;die Haftpflichtversicherung;a;politik;Politik in der Demokratie;Sozialsystem;-;
37;Wie werden die Regierungschefs / Regierungschefinnen der meisten Bundesl\xe4nder in Deutschland genannt?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Senator / Senatorin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;politik;Politik in der Demokratie;Föderalismus;-;
38;Die Bundesrepublik Deutschland ist ein demokratischer und sozialer ...;Staatenverbund.;Bundesstaat.;Staatenbund.;Zentralstaat.;b;politik;Politik in der Demokratie;Föderalismus;-;
39;Was hat jedes deutsche Bundesland?;einen eigenen Au\xdfenminister / eine eigene Au\xdfenministerin;eine eigene W\xe4hrung;eine eigene Armee;eine eigene Regierung;d;politik;Politik in der Demokratie;Föderalismus;-;
40;Mit welchen Worten beginnt die deutsche Nationalhymne?;V\xf6lker, h\xf6rt die Signale \x85;Einigkeit und Recht und Freiheit \x85;Freude sch\xf6ner G\xf6tterfunken \x85;Deutschland einig Vaterland \x85;b;politik;Politik in der Demokratie;Staatssymbole;-;
41;Warum gibt es in einer Demokratie mehr als eine Partei?;weil dadurch die unterschiedlichen Meinungen der B\xfcrger und B\xfcrgerinnen vertreten werden;damit Bestechung in der Politik begrenzt wird;um politische Demonstrationen zu verhindern;um wirtschaftlichen Wettbewerb anzuregen;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
42;Wer beschlie\xdft in Deutschland ein neues Gesetz?;die Regierung;das Parlament;die Gerichte;die Polizei;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
43;Wann kann in Deutschland eine Partei verboten werden?;wenn ihr Wahlkampf zu teuer ist;wenn sie gegen die Verfassung k\xe4mpft;wenn sie Kritik am Staatsoberhaupt \xe4u\xdfert;wenn ihr Programm eine neue Richtung vorschl\xe4gt;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
44;Wen kann man als B\xfcrger / B\xfcrgerin in Deutschland nicht direkt w\xe4hlen?;Abgeordnete des EU-Parlaments;den Bundespr\xe4sidenten / die Bundespr\xe4sidentin;Landtagsabgeordnete;Bundestagsabgeordnete;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
45;Zu welcher Versicherung geh\xf6rt die Pflegeversicherung?;Sozialversicherung;Unfallversicherung;Hausratversicherung;Haftpflicht- und Feuerversicherung;a;politik;Politik in der Demokratie;Sozialsystem;-;
46;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe geh\xf6rt dazu?;Er baut Stra\xdfen und Schulen.;Er verkauft Lebensmittel und Kleidung.;Er versorgt alle Einwohner und Einwohnerinnen kostenlos mit Zeitungen.;Er produziert Autos und Busse.;a;politik;Politik in der Demokratie;Aufgaben des Staates;-;
47;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe geh\xf6rt nicht dazu?;Er bezahlt f\xfcr alle Staatsangeh\xf6rigen Urlaubsreisen.;Er zahlt Kindergeld.;Er unterst\xfctzt Museen.;Er f\xf6rdert Sportler und Sportlerinnen.;a;politik;Politik in der Demokratie;Aufgaben des Staates;-;
48;Welches Organ geh\xf6rt nicht zu den Verfassungsorganen Deutschlands?;der Bundesrat;der Bundespr\xe4sident / die Bundespr\xe4sidentin;die B\xfcrgerversammlung;die Regierung;c;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
49;Wer bestimmt in Deutschland die Schulpolitik?;die Lehrer und Lehrerinnen;die Bundesl\xe4nder;das Familienministerium;die Universit\xe4ten;b;politik;Politik in der Demokratie;Föderalismus;-;
50;Die Wirtschaftsform in Deutschland nennt man ...;freie Zentralwirtschaft.;soziale Marktwirtschaft.;gelenkte Zentralwirtschaft.;Planwirtschaft.;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
51;Zu einem demokratischen Rechtsstaat geh\xf6rt es nicht, dass ...;Menschen sich kritisch \xfcber die Regierung \xe4u\xdfern k\xf6nnen.;B\xfcrger friedlich demonstrieren gehen d\xfcrfen.;Menschen von einer Privatpolizei ohne Grund verhaftet werden.;jemand ein Verbrechen begeht und deshalb verhaftet wird.;c;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
52;Was bedeutet \x84Volkssouver\xe4nit\xe4t\x93? Alle Staatsgewalt geht vom ...;Volke aus.;Bundestag aus.;preu\xdfischen K\xf6nig aus.;Bundesverfassungsgericht aus.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
53;Was bedeutet \x84Rechtsstaat\x93 in Deutschland?;Der Staat hat Recht.;Es gibt nur rechte Parteien.;Die B\xfcrger und B\xfcrgerinnen entscheiden \xfcber Gesetze.;Der Staat muss die Gesetze einhalten.;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
54;Was ist keine staatliche Gewalt in Deutschland?;Legislative;Judikative;Exekutive;Direktive;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
55;Was zeigt dieses Bild?;den Bundestagssitz in Berlin;das Bundesverfassungsgericht in Karlsruhe;das Bundesratsgeb\xe4ude in Berlin;das Bundeskanzleramt in Berlin;a;politik;Politik in der Demokratie;Verfassungsorgane;frage_55;image
56;Welches Amt geh\xf6rt in Deutschland zur Gemeindeverwaltung?;Pfarramt;Ordnungsamt;Finanzamt;Ausw\xe4rtiges Amt;b;politik;Politik in der Demokratie;Kommune;-;difficult
57;Wer wird meistens zum Pr\xe4sidenten / zur Pr\xe4sidentin des Deutschen Bundestages gew\xe4hlt?;der / die \xe4lteste Abgeordnete im Parlament;der Ministerpr\xe4sident / die Ministerpr\xe4sidentin des gr\xf6\xdften Bundeslandes;ein Abgeordneter / eine Abgeordnete der st\xe4rksten Fraktion;ein ehemaliger Bundeskanzler / eine ehemalige Bundeskanzlerin;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
58;Wer ernennt in Deutschland die Minister / die Ministerinnen der Bundesregierung?;der Pr\xe4sident / die Pr\xe4sidentin des Bundesverfassungsgerichtes;der Bundespr\xe4sident / die Bundespr\xe4sidentin;der Bundesratspr\xe4sident / die Bundesratspr\xe4sidentin;der Bundestagspr\xe4sident / die Bundestagspr\xe4sidentin;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
59;Welche Parteien wurden in Deutschland 2007 zur Partei \x84Die Linke\x93?;CDU und SSW;PDS und WASG;CSU und FDP;B\xfcndnis 90/Die Gr\xfcnen und SPD;b;politik;Politik in der Demokratie;Parteien;-;date
60;In Deutschland geh\xf6ren der Bundestag und der Bundesrat zur ...;Exekutive.;Legislative.;Direktive.;Judikative.;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;difficult
61;Was bedeutet \x84Volkssouver\xe4nit\xe4t\x93?;Der K\xf6nig / die K\xf6nigin herrscht \xfcber das Volk.;Das Bundesverfassungsgericht steht \xfcber der Verfassung.;Die Interessenverb\xe4nde \xfcben die Souver\xe4nit\xe4t zusammen mit der Regierung aus.;Die Staatsgewalt geht vom Volke aus.;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
62;Wenn das Parlament eines deutschen Bundeslandes gew\xe4hlt wird, nennt man das ...;Kommunalwahl.;Landtagswahl.;Europawahl.;Bundestagswahl.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;difficult
63;Was geh\xf6rt in Deutschland nicht zur Exekutive?;die Polizei;die Gerichte;das Finanzamt;die Ministerien;b;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
64;Die Bundesrepublik Deutschland ist heute gegliedert in ...;vier Besatzungszonen.;einen Oststaat und einen Weststaat.;16 Kantone.;Bund, L\xe4nder und Kommunen.;d;politik;Politik in der Demokratie;Föderalismus;-;
65;Es geh\xf6rt nicht zu den Aufgaben des Deutschen Bundestages, ...;Gesetze zu entwerfen.;die Bundesregierung zu kontrollieren.;den Bundeskanzler / die Bundeskanzlerin zu w\xe4hlen.;das Bundeskabinett zu bilden.;d;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
66;Wer schrieb den Text zur deutschen Nationalhymne?;Friedrich von Schiller;Clemens Brentano;Johann Wolfgang von Goethe;Heinrich Hoffmann von Fallersleben;d;politik;Politik in der Demokratie;Staatssymbole;-;
67;Was ist in Deutschland vor allem eine Aufgabe der Bundesl\xe4nder?;Verteidigungspolitik;Au\xdfenpolitik;Wirtschaftspolitik;Schulpolitik;d;politik;Politik in der Demokratie;Föderalismus;-;
68;Warum kontrolliert der Staat in Deutschland das Schulwesen?;weil es in Deutschland nur staatliche Schulen gibt;weil alle Sch\xfcler und Sch\xfclerinnen einen Schulabschluss haben m\xfcssen;weil es in den Bundesl\xe4ndern verschiedene Schulen gibt;weil es nach dem Grundgesetz seine Aufgabe ist;d;politik;Politik in der Demokratie;Aufgaben des Staates;-;
69;Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie hei\xdft die unterste politische Stufe?;Stadtr\xe4te;Landr\xe4te;Gemeinden;Bezirks\xe4mter;c;politik;Politik in der Demokratie;Kommune;-;
70;Der deutsche Bundespr\xe4sident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was geh\xf6rt zu den Aufgaben des deutschen Bundespr\xe4sidenten / der deutschen Bundespr\xe4sidentin?;Er / Sie f\xfchrt die Regierungsgesch\xe4fte.;Er / Sie kontrolliert die Regierungspartei.;Er / Sie w\xe4hlt die Minister / Ministerinnen aus.;Er / Sie schl\xe4gt den Kanzler / die Kanzlerin zur Wahl vor.;d;politik;Politik in der Demokratie;Verfassungsorgane;frage_70;image,date,person
71;Wo h\xe4lt sich der deutsche Bundeskanzler / die deutsche Bundeskanzlerin am h\xe4ufigsten auf? Am h\xe4ufigsten ist er / sie ...;in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden.;in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.;auf Schloss Meseberg, dem G\xe4stehaus der Bundesregierung, um Staatsg\xe4ste zu empfangen.;auf Schloss Bellevue, dem Amtssitz des Bundespr\xe4sidenten / der Bundespr\xe4sidentin, um Staatsg\xe4ste zu empfangen.;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
72;Wie hei\xdft der jetzige Bundeskanzler / die jetzige Bundeskanzlerin von Deutschland?;Gerhard Schr\xf6der;Angela Merkel;Franziska Giffey;Olaf Scholz;d;politik;Politik in der Demokratie;Verfassungsorgane;-;person
73;Die beiden gr\xf6\xdften Fraktionen im Deutschen Bundestag hei\xdfen zurzeit ...;CDU/CSU und SPD.;Die Linke und B\xfcndnis 90/Die Gr\xfcnen.;FDP und SPD.;Die Linke und FDP.;a;politik;Politik in der Demokratie;Parteien;-;
74;Wie hei\xdft das Parlament f\xfcr ganz Deutschland?;Bundesversammlung;Volkskammer;Bundestag;Bundesgerichtshof;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
75;Wie hei\xdft Deutschlands heutiges Staatsoberhaupt?;Frank-Walter Steinmeier;B\xe4rbel Bas;Bodo Ramelow;Joachim Gauck;a;politik;Politik in der Demokratie;Verfassungsorgane;-;person
76;Was bedeutet die Abk\xfcrzung CDU in Deutschland?;Christliche Deutsche Union;Club Deutscher Unternehmer;Christlicher Deutscher Umweltschutz;Christlich Demokratische Union;d;politik;Politik in der Demokratie;Parteien;-;
77;Was ist die Bundeswehr?;die deutsche Polizei;ein deutscher Hafen;eine deutsche B\xfcrgerinitiative;die deutsche Armee;d;politik;Politik in der Demokratie;Aufgaben des Staates;-;
78;Was bedeutet die Abk\xfcrzung SPD?;Sozialistische Partei Deutschlands;Sozialpolitische Partei Deutschlands;Sozialdemokratische Partei Deutschlands;Sozialgerechte Partei Deutschlands;c;politik;Politik in der Demokratie;Parteien;-;
79;Was bedeutet die Abk\xfcrzung FDP in Deutschland?;Friedliche Demonstrative Partei;Freie Deutschland Partei;F\xfchrende Demokratische Partei;Freie Demokratische Partei;d;politik;Politik in der Demokratie;Parteien;-;
80;Welches Gericht in Deutschland ist zust\xe4ndig f\xfcr die Auslegung des Grundgesetzes?;Oberlandesgericht;Amtsgericht;Bundesverfassungsgericht;Verwaltungsgericht;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
81;Wer w\xe4hlt den Bundeskanzler / die Bundeskanzlerin in Deutschland?;der Bundesrat;die Bundesversammlung;das Volk;der Bundestag;d;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
82;Wer leitet das deutsche Bundeskabinett?;der Bundestagspr\xe4sident / die Bundestagspr\xe4sidentin;der Bundespr\xe4sident / die Bundespr\xe4sidentin;der Bundeskanzler / die Bundeskanzlerin;der Bundesratspr\xe4sident / die Bundesratspr\xe4sidentin;c;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
83;Wer w\xe4hlt den deutschen Bundeskanzler / die deutsche Bundeskanzlerin?;das Volk;die Bundesversammlung;der Bundestag;die Bundesregierung;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
84;Welche Hauptaufgabe hat der deutsche Bundespr\xe4sident / die deutsche Bundespr\xe4sidentin? Er / Sie ...;regiert das Land.;entwirft die Gesetze.;repr\xe4sentiert das Land.;\xfcberwacht die Einhaltung der Gesetze.;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
85;Wer bildet den deutschen Bundesrat?;die Abgeordneten des Bundestages;die Minister und Ministerinnen der Bundesregierung;die Regierungsvertreter der Bundesl\xe4nder;die Parteimitglieder;c;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
86;Wer w\xe4hlt in Deutschland den Bundespr\xe4sidenten / die Bundespr\xe4sidentin?;die Bundesversammlung;der Bundesrat;das Bundesparlament;das Bundesverfassungsgericht;a;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
87;Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?;der Bundeskanzler / die Bundeskanzlerin;der Bundespr\xe4sident / die Bundespr\xe4sidentin;der Bundesratspr\xe4sident / die Bundesratspr\xe4sidentin;der Bundestagspr\xe4sident / die Bundestagspr\xe4sidentin;b;politik;Politik in der Demokratie;Verfassungsorgane;-;
88;Die parlamentarische Opposition im Deutschen Bundestag ...;kontrolliert die Regierung.;entscheidet, wer Bundesminister / Bundesministerin wird.;bestimmt, wer im Bundesrat sitzt.;schl\xe4gt die Regierungschefs / Regierungschefinnen der L\xe4nder vor.;a;politik;Politik in der Demokratie;Verfassungsorgane;-;
89;Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?;Verband;\xc4ltestenrat;Fraktion;Opposition;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
90;Die deutschen Bundesl\xe4nder wirken an der Gesetzgebung des Bundes mit durch ...;den Bundesrat.;die Bundesversammlung.;den Bundestag.;die Bundesregierung.;a;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
91;In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird ...;schwieriger, wenn sich dadurch die Mehrheit im Bundestag \xe4ndert.;leichter, wenn dadurch neue Parteien in den Bundesrat kommen.;schwieriger, wenn dadurch die Mehrheit im Bundesrat ver\xe4ndert wird.;leichter, wenn es sich um ein reiches Bundesland handelt.;c;politik;Politik in der Demokratie;Verfassungsorgane;-;
92;Was bedeutet die Abk\xfcrzung CSU in Deutschland?;Christlich Sichere Union;Christlich S\xfcddeutsche Union;Christlich Sozialer Unternehmerverband;Christlich Soziale Union;d;politik;Politik in der Demokratie;Parteien;-;
93;Je mehr \x84Zweitstimmen\x93 eine Partei bei einer Bundestagswahl bekommt, desto ...;mehr Sitze erh\xe4lt die Partei im Parlament.;weniger Erststimmen kann sie haben.;mehr Direktkandidaten der Partei ziehen ins Parlament ein.;gr\xf6\xdfer ist das Risiko, eine Koalition bilden zu m\xfcssen.;a;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
94;Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?;16;18;21;23;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
95;Was gilt f\xfcr die meisten Kinder in Deutschland?;Wahlpflicht;Schulpflicht;Schweigepflicht;Religionspflicht;b;politik;Politik in der Demokratie;Pflichten;-;
96;Was muss jeder deutsche Staatsb\xfcrger / jede deutsche Staatsb\xfcrgerin ab dem 16. Lebensjahr besitzen?;einen Reisepass;einen Personalausweis;einen Sozialversicherungsausweis;einen F\xfchrerschein;b;politik;Politik in der Demokratie;Pflichten;-;
97;Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?;Sozialversicherung;Sozialhilfe;Kindergeld;Wohngeld;a;politik;Politik in der Demokratie;Sozialsystem;-;
98;Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...;kann die Regierung ihre Mehrheit verlieren.;d\xfcrfen sie nicht mehr an den Sitzungen des Parlaments teilnehmen.;muss der Bundespr\xe4sident / die Bundespr\xe4sidentin zuvor sein / ihr Einverst\xe4ndnis geben.;d\xfcrfen die W\xe4hler / W\xe4hlerinnen dieser Abgeordneten noch einmal w\xe4hlen.;a;politik;Politik in der Demokratie;Verfassungsorgane;-;difficult
99;Wer bezahlt in Deutschland die Sozialversicherungen?;Arbeitgeber / Arbeitgeberinnen und Arbeitnehmer / Arbeitnehmerinnen;nur Arbeitnehmer / Arbeitnehmerinnen;alle Staatsangeh\xf6rigen;nur Arbeitgeber / Arbeitgeberinnen;a;politik;Politik in der Demokratie;Sozialsystem;-;
100;Was geh\xf6rt nicht zur gesetzlichen Sozialversicherung?;die gesetzliche Rentenversicherung;die Lebensversicherung;die Arbeitslosenversicherung;die Pflegeversicherung;b;politik;Politik in der Demokratie;Sozialsystem;-;
101;Gewerkschaften sind Interessenverb\xe4nde der ...;Jugendlichen.;Arbeitnehmer und Arbeitnehmerinnen.;Rentner und Rentnerinnen.;Arbeitgeber und Arbeitgeberinnen.;b;politik;Politik in der Demokratie;Grundrechte;-;
102;Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem ...;Bundesadler.;Bundesverdienstkreuz.;Vaterl\xe4ndischen Verdienstorden.;Ehrentitel \x84Held der Deutschen Demokratischen Republik\x93.;b;politik;Politik in der Demokratie;Recht und Alltag;-;difficult
103;Was wird in Deutschland als \x84Ampelkoalition\x93 bezeichnet? Die Zusammenarbeit ...;der Bundestagsfraktionen von CDU und CSU;von SPD, FDP und B\xfcndnis 90/Die Gr\xfcnen in einer Regierung;von CSU, Die LINKE und B\xfcndnis 90/Die Gr\xfcnen in einer Regierung;der Bundestagsfraktionen von CDU und SPD;b;politik;Politik in der Demokratie;Parteien;-;
